"run_id","total_duration_seconds","total_emissions_kg","total_energy_kwh","module_count","start_time_utc","end_time_utc","run_source","avg_emissions_rate_kg_per_hour"
"20260227T174547Z-50501",339.715196,2.7118493e-05,0.000483921775,21,"2026-02-27T17:45:47Z","2026-02-27T17:53:54Z","local",0.000287377709179662
"20260227T190502Z-78033",341.466912,3.036771e-05,0.000541903153,21,"2026-02-27T19:05:03Z","2026-02-27T19:14:38Z","local",0.000320159149124235
"20260227T193131Z-86879",337.08517,2.4711297e-05,0.000440966043,21,"2026-02-27T19:31:32Z","2026-02-27T19:38:42Z","local",0.000263911548526445
"20260227T200605Z-99934",342.783716,2.6263298e-05,0.000367733801,21,"2026-02-27T20:06:05Z","2026-02-27T20:14:08Z","local",0.000275823699863269
"20260227T221554Z-51810",352.267519,3.6754566e-05,0.000474735638,21,"2026-02-27T22:15:54Z","2026-02-27T22:23:23Z","local",0.000375613505257633
"20260227T223253Z-58085",364.18076,5.3402232e-05,0.000781632921,21,"2026-02-27T22:32:53Z","2026-02-27T22:40:35Z","local",0.000527891795272216
"20260227T225052Z-67186",343.160583,2.8849172e-05,0.000514805274,21,"2026-02-27T22:50:53Z","2026-02-27T22:58:03Z","local",0.000302648451905678
