model,term,log_odds,se,or,or_lower95,or_upper95,p_value,significant
unweighted_complete_case_design_matrix,cannabis_any_use1,1.1685772209985255,0.040859270009460574,3.2174117146534083,2.9697997412281545,3.485668746576173,6.708859746130369e-180,*
unweighted_complete_case_design_matrix,cannabis_any_use1.genderMan,0.08361296832261084,0.06451931707727639,1.08720802842305,0.9580622064495417,1.2337625773257024,0.19499720072557652,
unweighted_complete_case_design_matrix,cannabis_any_use1.genderTransgender.Non.binary,-0.18761793980455058,0.1777718737737072,0.8289313484138223,0.5850579306709168,1.174460073714739,0.29124884107997606,
smotefamily_design_matrix,cannabis_any_use1,1.196523283043046,0.0328124615235907,3.3085938587553114,3.1025117960875526,3.528364770763451,3.905901356123421e-291,*
smotefamily_design_matrix,cannabis_any_use1.genderMan,0.064261819685869,0.053107143054058656,1.0663715592817216,0.96095637350262,1.1833506013390624,0.22626316654293624,
smotefamily_design_matrix,cannabis_any_use1.genderTransgender.Non.binary,-0.2769477893742314,0.15726596052444533,0.7580940766433962,0.5570036935118923,1.0317824383143581,0.07823578468298438,
