group1,group2,p1,p2,h,n1,n2,n_eq,power_srs,n_eq_eff,power_deff,analysis_mode,power_scope
Woman,Man,0.46998335158200344,0.44868144542712246,0.04274875636255482,19334,11376,11376,0.8969025427335886,8047.207495060645,0.7738767613644235,observational,descriptive_post_hoc
Woman,Transgender/Non-binary,0.46998335158200344,0.3982836302489517,0.1447932913182115,19334,849,849,0.8469102331153218,600.5695467041568,0.7085421744852841,observational,descriptive_post_hoc
Man,Transgender/Non-binary,0.44868144542712246,0.3982836302489517,0.10204453495565668,11376,849,849,0.556681806040962,600.5695467041568,0.42409984300864767,observational,descriptive_post_hoc
