estimand,estimate,se,ci_lower95,ci_upper95,n,n_boot_valid
ATE,0.2577604554525531,0.007315929357493073,0.24342123391186668,0.2720996769932395,21897,200
ATT,0.25600818505816714,0.007935485952391751,0.2404546325914793,0.27156173752485496,21897,200
ATC,0.25957566575989577,0.007194380749109701,0.24547467949164076,0.2736766520281508,21897,200
