model,term,log_odds,se,or,or_lower95,or_upper95,p_value,significant
unweighted_base_design_matrix,(Intercept),0.46883962543135566,0.044744676793934485,1.5981386774004547,1.4639549898307394,1.7446214193365126,1.08898730354733e-25,*
unweighted_base_design_matrix,cannabis_any_use,1.1685772209985255,0.040859270009460574,3.2174117146534083,2.9697997412281545,3.485668746576173,6.708859746130369e-180,*
unweighted_base_design_matrix,genderMan,-0.45910946880214043,0.04421853827975408,0.6318460736806968,0.5793918782406089,0.689049114802954,2.971311878251977e-25,*
unweighted_base_design_matrix,genderTransgender.Non.binary,-0.6706702405505348,0.1422380416829256,0.5113657248574561,0.38695313964187894,0.6757792553408466,2.415616180691302e-6,*
unweighted_base_design_matrix,age_group.L,-0.5273822999573674,0.03261963823269922,0.5901477793580685,0.5535984823610991,0.6291101088208699,8.53153574052365e-59,*
unweighted_base_design_matrix,age_group.Q,-0.16569633043635118,0.031600948410413936,0.8473034954089506,0.7964164502849762,0.9014419693055511,1.5764649590377548e-7,*
unweighted_base_design_matrix,age_group.C,0.002908381406574374,0.03082658525556167,1.0029126148509395,0.9441118681508132,1.0653755629586856,0.9248338876898258,
unweighted_base_design_matrix,province_regionQuebec,-0.2720296732776165,0.04310224863950988,0.7618316547122492,0.7001165006659898,0.8289869894074869,2.7676547387107876e-10,*
unweighted_base_design_matrix,province_regionOntario,-0.3177440457860804,0.04290325635969699,0.7277890452499439,0.6690925530406009,0.7916347177662936,1.3010801511984662e-13,*
unweighted_base_design_matrix,province_regionWestern,-0.4137087316495459,0.047135654556086974,0.6611935079641108,0.6028463542464828,0.725187855735361,1.679217630449259e-18,*
unweighted_base_design_matrix,mental_health.L,0.2875964789742265,0.05934096559467357,1.3332192135806171,1.186835265296509,1.4976581193991145,1.2565336888205335e-6,*
unweighted_base_design_matrix,mental_health.Q,0.035423039987701334,0.04759259930311551,1.0360579100302836,0.9437851438675842,1.1373520762760836,0.4566966746818462,
unweighted_base_design_matrix,mental_health.C,0.08035029779192208,0.03822877065040343,1.083666607214833,1.0054380167703745,1.167981810917247,0.03556835178262752,*
unweighted_base_design_matrix,mental_health.4,-2.5850703428967388e-6,0.030048801708686634,0.9999974149329984,0.9428037275766653,1.0606606662905493,0.9999313587366099,
unweighted_base_design_matrix,physical_health.L,-0.3750014354208935,0.07629272587566194,0.6872882922422896,0.591832022333713,0.7981406527999139,8.864779412364215e-7,*
unweighted_base_design_matrix,physical_health.Q,-0.07235765234255019,0.06298579762631017,0.9301981487639309,0.8221704484355087,1.0524199666995404,0.250641288010891,
unweighted_base_design_matrix,physical_health.C,0.053304848596831295,0.047314707463631006,1.0547511355175865,0.9613369818641171,1.1572424434545343,0.2599107525770905,
unweighted_base_design_matrix,physical_health.4,0.025065346089107297,0.03273991626422659,1.0253821230468103,0.9616509705314497,1.0933369075506993,0.4439204128883922,
unweighted_base_design_matrix,cannabis_any_use.genderMan,0.08361296832261084,0.06451931707727639,1.08720802842305,0.9580622064495417,1.2337625773257024,0.19499720072557652,
unweighted_base_design_matrix,cannabis_any_use.genderTransgender.Non.binary,-0.18761793980455058,0.1777718737737072,0.8289313484138223,0.5850579306709168,1.174460073714739,0.29124884107997606,
smotefamily_design_matrix,(Intercept),-0.252319509534936,0.036972842985633164,0.7769964406329658,0.7226827497184962,0.8353921122255428,8.825962823213427e-12,*
smotefamily_design_matrix,cannabis_any_use,1.1987495864724005,0.03281631445904189,3.3159679980994734,3.109403142031115,3.5362554362241,3.832692790026137e-292,*
smotefamily_design_matrix,genderMan,-0.4473948281485427,0.038346832758214544,0.6392914481800406,0.5930045309575024,0.6891912867111338,1.877999847552007e-31,*
smotefamily_design_matrix,genderTransgender.Non.binary,-0.5574336823869472,0.13080122999272925,0.5726768503276836,0.4431710871259508,0.7400274621435966,2.0289099906355427e-5,*
smotefamily_design_matrix,age_group.L,-0.5465376948350332,0.02689346303923949,0.5789508487927456,0.5492245449976988,0.6102860630878122,8.161799750474435e-92,*
smotefamily_design_matrix,age_group.Q,-0.16311411388738428,0.025920561254857512,0.8494942437928619,0.8074150098325432,0.8937664787614904,3.1169647906189075e-10,*
smotefamily_design_matrix,age_group.C,-0.006749247233625428,0.0252234854191858,0.9932734777811618,0.9453629319739015,1.0436121073665292,0.7890242448521447,
smotefamily_design_matrix,province_regionQuebec,-0.24629658406296845,0.0353022591080428,0.7816903536414469,0.7294330134785638,0.8376914640346852,3.019923352330765e-12,*
smotefamily_design_matrix,province_regionOntario,-0.28064684607294604,0.03495633520328847,0.7552950237901601,0.7052802735039666,0.8088565558880191,9.867370822908886e-16,*
smotefamily_design_matrix,province_regionWestern,-0.38672334188473584,0.038962606467885894,0.6792789969801674,0.629336841020046,0.7331844024743578,3.2248309860964594e-23,*
smotefamily_design_matrix,mental_health.L,0.2522048471140889,0.0496408515262502,1.2868596197662103,1.1675535374067736,1.4183569557443643,3.762630913252487e-7,*
smotefamily_design_matrix,mental_health.Q,0.04038582400031027,0.039655498712916064,1.0412124214464458,0.9633509251915614,1.1253669646487279,0.30847994680612373,
smotefamily_design_matrix,mental_health.C,0.08011700785368073,0.031663429001140164,1.0834138281855104,1.018221855794021,1.1527797369741697,0.011397495337827015,*
smotefamily_design_matrix,mental_health.4,0.004513246855728513,0.024779045788182776,1.0045234468936421,0.9569034407664824,1.0545132480146775,0.8554731288603972,
smotefamily_design_matrix,physical_health.L,-0.35592834595632156,0.06377164509145168,0.7005228137292402,0.6182153165359376,0.7937885060901835,2.387347105459582e-8,*
