metric,value
eligible_n,31472
observed_n,21897
observed_rate,0.6957613116420945
sw_min,0.801553995088466
sw_q01,0.8198388144578015
sw_median,0.9735215073337986
sw_q99,1.419885734536856
sw_max,2.0613361358148232
ess_weighted_obs,15361.58139522041
ess_weighted_ipw,15143.169010480788
