endpoint,outcome,outcome_type,scenario,allocation_strategy,target_power,alpha,total_n,group1,n1,group2,n2,n_sum_check,integer_n_check,status,compute_method,analysis_mode,power_scope
ebac_legal,ebac_legal,binary,pilot_observed,observed_strata,0.85,0.05,15241,Woman,9759,Man,5482,15241,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,pilot_observed,observed_strata,0.9,0.05,17836,Woman,11420,Man,6416,17836,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,pilot_observed,observed_strata,0.95,0.05,22058,Woman,14123,Man,7935,22058,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,pilot_observed,observed_strata,0.99,0.05,31187,Woman,19968,Man,11219,31187,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,pilot_observed,observed_strata,0.999,0.05,43293,Woman,27720,Man,15573,43293,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,conservative_benchmark,equal_strata,0.8,0.05,13813,Woman,6907,Man,6906,13813,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,conservative_benchmark,equal_strata,0.85,0.05,15800,Woman,7900,Man,7900,15800,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,conservative_benchmark,equal_strata,0.9,0.05,18491,Woman,9246,Man,9245,18491,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,conservative_benchmark,equal_strata,0.95,0.05,22868,Woman,11434,Man,11434,22868,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,conservative_benchmark,equal_strata,0.99,0.05,32332,Woman,16166,Man,16166,32332,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,conservative_benchmark,equal_strata,0.999,0.05,44882,Woman,22441,Man,22441,44882,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,conservative_benchmark,observed_strata,0.8,0.05,15219,Woman,9744,Man,5475,15219,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,conservative_benchmark,observed_strata,0.85,0.05,17409,Woman,11147,Man,6262,17409,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,conservative_benchmark,observed_strata,0.9,0.05,20374,Woman,13045,Man,7329,20374,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,conservative_benchmark,observed_strata,0.95,0.05,25197,Woman,16133,Man,9064,25197,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,conservative_benchmark,observed_strata,0.99,0.05,35624,Woman,22809,Man,12815,35624,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,conservative_benchmark,observed_strata,0.999,0.05,49453,Woman,31664,Man,17789,49453,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,equal_strata,0.8,0.05,242310,Woman,121155,Man,121155,242310,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,equal_strata,0.85,0.05,277180,Woman,138590,Man,138590,277180,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,equal_strata,0.9,0.05,324384,Woman,162192,Man,162192,324384,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,equal_strata,0.95,0.05,401172,Woman,200586,Man,200586,401172,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,equal_strata,0.99,0.05,567193,Woman,283597,Man,283596,567193,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,equal_strata,0.999,0.05,787372,Woman,393686,Man,393686,787372,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,observed_strata,0.8,0.05,264626,Woman,169435,Man,95191,264626,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,observed_strata,0.85,0.05,302708,Woman,193819,Man,108889,302708,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,observed_strata,0.9,0.05,354259,Woman,226826,Man,127433,354259,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,observed_strata,0.95,0.05,438118,Woman,280519,Man,157599,438118,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,observed_strata,0.99,0.05,619430,Woman,396610,Man,222820,619430,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,observed_strata,0.999,0.05,859886,Woman,550570,Man,309316,859886,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
