gender,cannabis_any_use,pred_prob,se,ci_lower95,ci_upper95
Female,0,0.6718940545398412,0.02140795607981069,0.6299344606234122,0.7138536484562702
Male,0,0.5662481092326014,0.023494013676876292,0.5201998424259239,0.6122963760392789
Non-binary,0,0.5194974596024712,0.04730278901274863,0.42678399313748383,0.6122109260674585
Female,1,0.868262673840743,0.011499689013035974,0.8457232833751924,0.8908020643062935
Male,1,0.8199512158487872,0.01453536210479882,0.7914619061233815,0.8484405255741928
Non-binary,1,0.7225914531778315,0.031121626694227352,0.6615930648571459,0.7835898414985171
