metric,group_var,group_level,estimate,se,ci_lower95,ci_upper95,n_unweighted_nonmissing
ebac_missing_rate,Overall,All,0.4700412066145181,0.0029259006943417355,0.4643065466312676,0.4757758665977686,40931
ebac_missing_rate,alcohol_past12m,0,1.0000000000000027,5.486839917338867e-17,1.0000000000000027,1.0000000000000027,2977
ebac_missing_rate,alcohol_past12m,1,0.3143441280475878,0.0030563465193362634,0.30835379894541437,0.3203344571497613,32369
ebac_missing_rate,cannabis_any_use,0,0.59083887785919,0.0037499326629870993,0.5834891448952849,0.598188610823095,23448
ebac_missing_rate,cannabis_any_use,1,0.29137671705915413,0.004160584461348096,0.2832221213602749,0.29953131275803335,17037
ebac_missing_rate,heavy_drinking_30d,0,0.4345190512840459,0.0045774815796711995,0.42554735224799484,0.44349075032009694,16509
ebac_missing_rate,heavy_drinking_30d,1,0.17035633752596527,0.003629948661924332,0.1632417688828642,0.17747090616906633,15210
