model,term,log_odds,se,or,or_lower95,or_upper95,p_value,significant
unweighted_base_design_matrix,cannabis_any_use,1.1685772209985255,0.040859270009460574,3.2174117146534083,2.9697997412281545,3.485668746576173,6.708859746130369e-180,*
unweighted_base_design_matrix,cannabis_any_use.genderMale,0.08361296832261084,0.06451931707727639,1.08720802842305,0.9580622064495417,1.2337625773257024,0.19499720072557652,
unweighted_base_design_matrix,cannabis_any_use.genderNon.binary,-0.18761793980455058,0.1777718737737072,0.8289313484138223,0.5850579306709168,1.174460073714739,0.29124884107997606,
smotefamily_design_matrix,cannabis_any_use,1.1987495864724005,0.03281631445904189,3.3159679980994734,3.109403142031115,3.5362554362241,3.832692790026137e-292,*
smotefamily_design_matrix,cannabis_any_use.genderMale,0.06109059702606952,0.05311337792659021,1.062995214030007,0.9579020880192651,1.1796182920816172,0.2500646869602486,
smotefamily_design_matrix,cannabis_any_use.genderNon.binary,-0.28079908003786685,0.15738795213516596,0.7551800509856086,0.5547299846183507,1.028062165774193,0.07440407839375697,
