variable,n,successes,p_hat,ci_low_wald,ci_high_wald
alcohol_ever,40826,35399,0.8670700044089551,0.8637767427946436,0.8703632660232666
alcohol_past12m,35346,32369,0.9157754767158943,0.9128801357157549,0.9186708177160338
heavy_drinking_30d,31719,15210,0.4795233141019578,0.4740253508621713,0.48502127734174433
cannabis_any_use,40485,17037,0.42082252686180066,0.41601342118663076,0.42563163253697056
