estimand,estimate,se,t_value,p_value
ATE_DML_RF,0.24683953583331483,0.006713062455332557,36.770034164844766,5.563728317607385e-296
ATTE_DML_RF,0.24246597582864657,0.007192060436884256,33.71300588426196,3.727554232242503e-249
