subgroup_var,subgroup_level,n_treated,n_control,cate,se,ci_lower95,ci_upper95,note
gender,Woman,7198,6410,0.23917097690351208,0.009485425927979569,0.22057954208467212,0.25776241172235204,
gender,Man,4318,3320,0.2828597452406068,0.013554128393976695,0.2562936535884125,0.3094258368928011,
gender,Transgender/Non-binary,434,217,0.23094831942159194,0.041963567350731173,0.14869972741415882,0.31319691142902506,
age_group,16-19,2694,2026,0.2818507641602245,0.017490091451094023,0.24757018491608018,0.31613134340436877,
age_group,26+,2274,2778,0.22293568871305142,0.01637967092441836,0.19083153370119144,0.2550398437249114,
age_group,20-22,4638,3291,0.25735105882975917,0.01325945104624413,0.23136253477912067,0.2833395828803977,
age_group,23-25,2344,1852,0.26531297740177523,0.016281740623942453,0.23340076577884802,0.2972251890247024,
