model,estimand,estimate,ci_lower95,ci_upper95,p_value
observed_domain_survey_weighted,ebac_legal OR,3.3165888524363547,3.0821568205939416,3.568852026804206,2.1730064983183817e-220
ipw_adjusted_eligible_domain,ebac_legal OR,3.3301724223616804,3.093030181262682,3.585496329728965,1.4362491439370672e-218
observed_domain_survey_weighted,ebac_tot beta,0.058157772089698315,0.055101660202637556,0.06121388397675907,2.774574948595095e-295
ipw_adjusted_eligible_domain,ebac_tot beta,0.05874417842223815,0.05563646675603256,0.061851890088443745,1.715318578442446e-291
