reference_gender,comparison_gender,delta_rd,se2_const,pair_required_n,z_eff,pair_power,endpoint,scenario,allocation_strategy,target_power,alpha,compute_method,analysis_mode,power_scope
Woman,Man,0.046605377042369,3.686974088693572,13324,2.8016784852220176,0.800026110214141,ebac_legal,pilot_observed,observed_strata,0.8,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.046605377042369,3.686974088693572,15241,2.9964546871356097,0.8500133626557237,ebac_legal,pilot_observed,observed_strata,0.85,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.046605377042369,3.686974088693572,17836,3.2415275339664937,0.900002103135123,ebac_legal,pilot_observed,observed_strata,0.9,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.046605377042369,3.686974088693572,22058,3.6048238626497584,0.9500006447138928,ebac_legal,pilot_observed,observed_strata,0.95,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.046605377042369,3.686974088693572,31187,4.286351509392125,0.9900010567303211,ebac_legal,pilot_observed,observed_strata,0.99,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.046605377042369,3.686974088693572,43293,5.050214491656069,0.9990000612825086,ebac_legal,pilot_observed,observed_strata,0.999,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.04280126369011894,3.2237802817411634,13813,2.8016758086562765,0.8000253609356326,ebac_legal,conservative_benchmark,equal_strata,0.8,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.04280126369011894,3.2237802817411634,15800,2.996418141180708,0.850004841990419,ebac_legal,conservative_benchmark,equal_strata,0.85,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.04280126369011894,3.2237802817411634,18491,3.241560066724109,0.9000078123731136,ebac_legal,conservative_benchmark,equal_strata,0.9,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.04280126369011894,3.2237802817411634,22868,3.60485637369915,0.9500039976376623,ebac_legal,conservative_benchmark,equal_strata,0.95,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.04280126369011894,3.2237802817411634,32332,4.28637496110963,0.99000168169413,ebac_legal,conservative_benchmark,equal_strata,0.99,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.04280126369011894,3.2237802817411634,44882,5.050216249900517,0.999000067202327,ebac_legal,conservative_benchmark,equal_strata,0.999,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.04280126369011894,3.552064361876197,15219,2.8016200504956563,0.80000975159781,ebac_legal,conservative_benchmark,observed_strata,0.8,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.04280126369011894,3.552064361876197,17409,2.996422786348016,0.8500059250260208,ebac_legal,conservative_benchmark,observed_strata,0.85,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.04280126369011894,3.552064361876197,20374,3.2415619753179525,0.9000081473086307,ebac_legal,conservative_benchmark,observed_strata,0.9,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.04280126369011894,3.552064361876197,25197,3.6048782066569194,0.9500062492097475,ebac_legal,conservative_benchmark,observed_strata,0.95,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.04280126369011894,3.552064361876197,35624,4.286348905990916,0.99000098735029185,ebac_legal,conservative_benchmark,observed_strata,0.99,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.04280126369011894,3.552064361876197,49453,5.050245608665201,0.9990001660453514,ebac_legal,conservative_benchmark,observed_strata,0.999,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,-0.0021853478973947044,0.14743620699675586,242310,2.8015874194875114,0.8000006163004739,ebac_tot,pilot_observed,equal_strata,0.8,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,-0.0021853478973947044,0.14743620699675586,277180,2.996397699463122,0.8500000758766794,ebac_tot,pilot_observed,equal_strata,0.85,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,-0.0021853478973947044,0.14743620699675586,324384,3.2415163922132777,0.9000001477920889,ebac_tot,pilot_observed,equal_strata,0.9,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,-0.0021853478973947044,0.14743620699675586,401172,3.604821931022027,0.9500004454959617,ebac_tot,pilot_observed,equal_strata,0.95,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,-0.0021853478973947044,0.14743620699675586,567193,4.286313587491923,0.99000004607909,ebac_tot,pilot_observed,equal_strata,0.99,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,-0.0021853478973947044,0.14743620699675586,787372,5.050199017451842,0.999000009181154,ebac_tot,pilot_observed,equal_strata,0.999,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,-0.0021853478973947044,0.16101464609998245,264626,2.8015872333719725,0.8000005641953026,ebac_tot,pilot_observed,observed_strata,0.8,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,-0.0021853478973947044,0.16101464609998245,302708,2.996400376330371,0.8500007000106923,ebac_tot,pilot_observed,observed_strata,0.85,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,-0.0021853478973947044,0.16101464609998245,354259,3.2415172701984956,0.9000003018767773,ebac_tot,pilot_observed,observed_strata,0.9,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,-0.0021853478973947044,0.16101464609998245,438118,3.6048188206734078,0.9500001247096237,ebac_tot,pilot_observed,observed_strata,0.95,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,-0.0021853478973947044,0.16101464609998245,619430,4.286314280580838,0.9900000645513051,ebac_tot,pilot_observed,observed_strata,0.99,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,-0.0021853478973947044,0.16101464609998245,859886,5.0501971523954925,0.999000002901376,ebac_tot,pilot_observed,observed_strata,0.999,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
