p0,p_obs,h,n,n_eff,power_srs,power_deff
0.05,0.4580988313946399,1.0358687782146265,31719,22437.532923332332,1,1
0.1,0.4580988313946399,0.8433944812176045,31719,22437.532923332332,1,1
0.15,0.4580988313946399,0.6914967598267453,31719,22437.532923332332,1,1
0.2,0.4580988313946399,0.5596003720092767,31719,22437.532923332332,1,1
0.25,0.4580988313946399,0.43969803881429126,31719,22437.532923332332,1,1
0.3,0.4580988313946399,0.3276161092834804,31719,22437.532923332332,1,1
