endpoint,outcome,outcome_type,scenario,allocation_strategy,target_power,alpha,required_n,estimated_power,status,compute_method,analysis_mode,power_scope
ebac_legal,ebac_legal,binary,conservative_benchmark,equal_strata,0.85,0.05,15800,0.850004841990419,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,conservative_benchmark,equal_strata,0.9,0.05,18491,0.9000078123731136,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,conservative_benchmark,equal_strata,0.95,0.05,22868,0.9500039976376623,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,conservative_benchmark,equal_strata,0.99,0.05,32332,0.99000168169413,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,conservative_benchmark,equal_strata,0.999,0.05,44882,0.999000067202327,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,conservative_benchmark,observed_strata,0.8,0.05,15219,0.80000975159781,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,conservative_benchmark,observed_strata,0.85,0.05,17409,0.8500059250260208,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,conservative_benchmark,observed_strata,0.9,0.05,20374,0.9000081473086307,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,conservative_benchmark,observed_strata,0.95,0.05,25197,0.9500062492097475,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,conservative_benchmark,observed_strata,0.99,0.05,35624,0.99000098735029185,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_legal,ebac_legal,binary,conservative_benchmark,observed_strata,0.999,0.05,49453,0.9990001660453514,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,equal_strata,0.8,0.05,242310,0.8000006163004739,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,equal_strata,0.85,0.05,277180,0.8500000758766794,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,equal_strata,0.9,0.05,324384,0.9000001477920889,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,equal_strata,0.95,0.05,401172,0.9500004454959617,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,equal_strata,0.99,0.05,567193,0.99000004607909,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,equal_strata,0.999,0.05,787372,0.999000009181154,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,observed_strata,0.8,0.05,264626,0.8000005641953026,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,observed_strata,0.85,0.05,302708,0.8500007000106923,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,observed_strata,0.9,0.05,354259,0.9000003018767773,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,observed_strata,0.95,0.05,438118,0.9500001247096237,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,observed_strata,0.99,0.05,619430,0.9900000645513051,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
ebac_tot,ebac_tot,continuous,pilot_observed,observed_strata,0.999,0.05,859886,0.999000002901376,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
