variable,p_hat,se,ci_low,ci_high,n_unweighted_nonmissing
alcohol_ever,0.8544650560667432,0.0021374618339929626,0.850275707853788,0.8586544042796983,40826
alcohol_past12m,0.9084816497784381,0.0018514717034995524,0.904852831921184,0.9121104676356923,35346
heavy_drinking_30d,0.4580988313946399,0.003326280962758902,0.45157944050517124,0.4646182222841086,31719
cannabis_any_use,0.4088843388707566,0.0028937681059498397,0.40321265760348424,0.41455602013802895,40485
