metric,model,estimate,ci_lower95,ci_upper95,p_value
ebac_legal_or_cannabis,weighted_main,3.316588852436356,3.082156820593943,3.568852026804208,2.1730064983178867e-220
ebac_legal_or_cannabis,selection_adjusted_ipw,3.3301724223616773,3.093030181262679,3.585496329728962,1.436249143938212e-218
ebac_tot_beta_cannabis,weighted_main,0.058157772089698315,0.055101660202637556,0.06121388397675907,2.774574948595095e-295
ebac_tot_beta_cannabis,selection_adjusted_ipw,0.05874417842223816,0.055636466756032565,0.06185189008844376,1.715318578444203e-291
