prior_name,post_mean,ci_lower,ci_upper,ci_width,type
Uninformative,0.4795246051511617,0.474028261641901,0.48502339415281204,0.010995132510911054,Bayesian CrI
Weakly Informative,0.4795258960375753,0.4740297250859841,0.48502451217320974,0.010994787087225621,Bayesian CrI
Informative,0.4792342328158947,0.4737413267668688,0.4847296160705614,0.010988289303692611,Bayesian CrI
Frequentist (Wilson; unweighted),0.4795233141019578,0.47401250942997614,0.4850390922165829,0.011026582786606787,Frequentist CI
Survey-weighted (svymean),0.4580988313946399,0.45157944050517124,0.4646182222841086,0.013038781778937358,Survey-weighted CI
