prior_name,alpha_prior,beta_prior,prior_mean,prior_sd,alpha_post,beta_post,post_mean,post_sd,ci_lower,ci_upper
Uninformative,1,1,0.5,0.28867513459481287,15211,16510,0.4795246051511617,0.0028049509389752496,0.474028261641901,0.48502339415281204
Weakly Informative,2,2,0.5,0.22360679774997896,15212,16511,0.4795258960375753,0.0028048628173000987,0.4740297250859841,0.48502451217320974
Informative,10,30,0.25,0.06762522260005742,15220,16539,0.4792342328158947,0.0028032051583388017,0.4737413267668688,0.4847296160705614
